date,usd,int,eur
2016/09/09,14.2696,7,16.0762
2016/09/08,13.9718,7,15.7511
2016/09/07,14.0174,7,15.7584
2016/09/06,14.2719,7,15.936
2016/09/05,14.3902,7,16.0875
2016/09/02,14.6663,7,16.4072
2016/09/01,14.6482,7,16.3181
2016/08/31,14.4331,7,16.0872
2016/08/30,14.3969,7,16.077
2016/08/29,14.4271,7,16.1381
2016/08/26,14.181,7,16.0089
2016/08/25,14.1437,7,15.9626
2016/08/24,14.0297,7,15.8556
2016/08/23,13.447,7,15.253
2016/08/22,13.6194,7,15.379
2016/08/19,13.5118,7,15.2791
2016/08/18,13.2748,7,15.0357
2016/08/17,13.4103,7,15.1094
2016/08/16,13.2747,7,14.96
2016/08/15,13.4152,7,14.9834
2016/08/12,13.3854,7,14.9354
2016/08/11,13.3455,7,14.8723
2016/08/10,13.3829,7,14.9173
2016/08/08,13.6461,7,15.1336
2016/08/05,13.6935,7,15.2559
2016/08/04,13.8602,7,15.4347
2016/08/02,13.9849,7,15.6617
2016/08/01,13.794,7,15.412
2016/07/29,14.1532,7,15.6988
2016/07/28,14.2082,7,15.786
2016/07/27,14.2897,7,15.7186
2016/07/26,14.381,7,15.827
2016/07/25,14.3126,7,15.7145
2016/07/22,14.2208,7,15.6876
2016/07/21,14.2739,7,15.7413
2016/07/20,14.2943,7,15.7188
2016/07/19,14.3062,7,15.8427
2016/07/18,14.3305,7,15.8366
2016/07/15,14.314,7,15.9558
2016/07/14,14.3514,7,15.9358
2016/07/13,14.402,7,15.9127
2016/07/12,14.3199,7,15.9152
2016/07/11,14.6031,7,16.1146
2016/07/08,14.727,7,16.3079
2016/07/07,14.6074,7,16.1908
2016/07/06,14.8785,7,16.4645
2016/07/05,14.7581,7,16.4642
2016/07/04,14.5289,7,16.1343
2016/07/01,14.683,7,16.3121
2016/06/30,14.7626,7,16.4116
2016/06/29,15.03,7,16.6277
2016/06/28,15.1829,7,16.8113
2016/06/27,15.1128,7,16.7125
2016/06/24,14.921,7,16.6347
2016/06/23,14.5034,7,16.4374
2016/06/22,14.7195,7,16.5925
2016/06/21,14.696,7,16.6499
2016/06/20,14.9341,7,16.9419
2016/06/17,15.1978,7,17.1097
2016/06/15,15.286,7,17.1433
2016/06/14,15.361,7,17.2619
2016/06/13,15.1393,7,17.0575
2016/06/10,14.9059,7,16.8564
2016/06/09,14.8478,7,16.8723
2016/06/08,14.9294,7,16.974
2016/06/07,14.8572,7,16.8882
2016/06/06,15.0746,7,17.1217
2016/06/03,15.5935,7,17.3961
2016/06/02,15.6025,7,17.4982
2016/06/01,15.6539,7,17.4596
2016/05/31,15.8249,7,17.6084
2016/05/30,15.7872,7,17.5791
2016/05/27,15.5415,7,17.3739
2016/05/26,15.5919,7,17.4208
2016/05/25,15.6453,7,17.4352
2016/05/24,15.8081,7,17.6663
2016/05/23,15.5716,7,17.4449
2016/05/20,15.7639,7,17.6886
2016/05/19,15.8446,7,17.7682
2016/05/18,15.8352,7,17.8447
2016/05/17,15.5716,7,17.6489
2016/05/16,15.4464,7,17.4953
2016/05/13,15.1152,7,17.1542
2016/05/12,14.9478,7,17.057
2016/05/11,15.2598,7,17.3748
2016/05/10,15.2379,7,17.3567
2016/05/09,14.9539,7,17.0324
2016/05/06,15.0107,7,17.1437
2016/05/05,14.8984,7,17.0504
2016/05/04,14.7936,7,16.9831
2016/05/03,14.2811,7,16.5625
2016/04/29,14.2182,7,16.181
2016/04/28,14.4328,7,16.3683
2016/04/26,14.4917,7,16.3553
2016/04/25,14.485,7,16.3029
2016/04/22,14.3205,7,16.1607
2016/04/21,14.2697,7,16.1169
2016/04/20,14.2476,7,16.181
2016/04/19,14.4027,7,16.314
2016/04/18,14.6705,7,16.5814
2016/04/15,14.4954,7,16.329
2016/04/14,14.6402,7,16.4716
2016/04/13,14.7577,7,16.7441
2016/04/12,14.692,7,16.8268
